window_idx,start_date,end_date,duration_days,start_value,end_value,pnl,pnl_pct,sharpe_ratio,max_drawdown,max_drawdown_len,total_return,annual_return,total_trades,won_trades,lost_trades,win_rate,avg_win,avg_loss,buy_hold_return_pct,buy_hold_max_dd
1,2010-06-06 22:00:00,2011-06-06 22:00:00,365,100000.0,101506.96545599999,1506.9654559999908,1.5069654559999908,-0.2696028260875673,-1.245615467020033,6830,,,330,326,4,98.7878787878788,13.608533343558271,-540.5431859999998,23.314083457526095,-12.444012089747126
2,2010-09-06 22:00:00,2011-09-06 22:00:00,365,100000.0,99988.67020399992,-11.329796000078204,-0.011329796000078204,-0.5786513211023085,-2.6217150957012905,11839,,,372,364,8,97.84946236559139,15.872000576923071,-723.8786282499997,16.026731929744937,-18.961228483300715
3,2010-12-06 22:00:00,2011-12-06 22:00:00,365,100000.0,98480.35218399971,-1519.647816000288,-1.519647816000288,-1.844662633328767,-3.2621244496545874,17795,,,405,395,10,97.53086419753086,17.17923778734175,-828.8275194000005,7.0738155326815715,-18.961228483300715
4,2011-03-06 22:00:00,2012-03-06 22:00:00,366,100000.0,98696.59324199981,-1303.4067580001865,-1.3034067580001867,-1.2169484366376786,-3.317094877154806,23371,,,433,423,10,97.6905311778291,16.97885503546097,-830.7766306000005,10.610038742121148,-18.961228483300715
5,2011-06-06 22:00:00,2012-06-06 22:00:00,366,100000.0,98203.4922499998,-1796.5077500001935,-1.7965077500001936,-3.212711635667929,-3.1905304884526995,20405,,,415,405,10,97.59036144578313,16.767421130864165,-858.7803866000002,13.222075596610722,-18.961228483300715
6,2011-09-06 22:00:00,2012-09-06 22:00:00,366,100000.0,101018.32884999987,1018.3288499998744,1.0183288499998744,-2.737531967450857,-1.9549132071196509,10018,,,340,335,5,98.52941176470588,16.32820264477609,-890.907616000001,30.761494119071358,-12.791131520413288
7,2011-12-06 22:00:00,2012-12-06 22:00:00,366,100000.0,100139.770552,139.77055200000177,0.13977055200000177,-4.3310331117946035,-1.95575099279104,15834,,,250,246,4,98.4,16.36291805691054,-971.8025874999996,13.624043951308836,-13.189876435854641
8,2012-03-06 22:00:00,2013-03-06 22:00:00,365,100000.0,99868.25210000003,-131.74789999997301,-0.13174789999997302,-1.136414820145953,-1.978735228081188,21241,,,218,214,4,98.1651376146789,17.59560135514016,-971.8025874999996,7.155946278212072,-13.189876435854641
9,2012-06-06 22:00:00,2013-06-06 22:00:00,365,100000.0,102044.20398800012,2044.2039880001248,2.044203988000125,0.024689839443953737,-1.5840562053316563,10546,,,220,218,2,99.0909090909091,18.626243036697193,-965.3378530000005,15.627048006247524,-13.189876435854641
10,2012-09-06 22:00:00,2013-09-06 22:00:00,365,100000.0,102326.59343400007,2326.5934340000676,2.3265934340000674,0.09064818119607847,-1.5991429750333037,10546,,,212,210,2,99.05660377358491,20.31141408571425,-965.3378530000005,11.513535071538957,-13.189876435854641
11,2012-12-06 22:00:00,2013-12-06 22:00:00,365,100000.0,104343.68645800008,4343.686458000084,4.343686458000084,0.5531223089678521,-0.8341848329696032,946,,,212,212,0,100.0,20.507726141509387,0.0,32.86305228953945,-7.612398881175753
12,2013-03-06 22:00:00,2014-03-06 22:00:00,365,100000.0,104492.35729800008,4492.357298000075,4.492357298000075,0.8466681797093575,-1.0395525924729578,1077,,,206,206,0,100.0,21.823263165048484,0.0,34.261577196943996,-7.612398881175753
13,2013-06-06 22:00:00,2014-06-06 22:00:00,365,100000.0,104666.7868320001,4666.7868320001,4.6667868320001,5.169945862589682,-1.0509382727658758,1077,,,203,203,0,100.0,22.985449211822647,0.0,28.9120356228915,-8.929884956012604
