window_idx,start_date,end_date,duration_days,start_value,end_value,pnl,pnl_pct,sharpe_ratio,max_drawdown,max_drawdown_len,total_return,annual_return,total_trades,won_trades,lost_trades,win_rate,avg_win,avg_loss
20,2015-03-06 22:00:00,2015-09-06 22:00:00,184,100000.0,105262.14696949994,5262.14696949994,5.262146969499939,,1.7471574323945374,41759,,,43,30,13,69.76744186046511,224.9057473083329,-110.44247951923242
21,2015-06-06 22:00:00,2015-12-06 22:00:00,183,100000.0,103592.86961574997,3592.8696157499653,3.5928696157499656,,2.026175266506612,41759,,,53,33,20,62.264150943396224,194.95840812878748,-142.0378926249995
22,2015-09-06 22:00:00,2016-03-06 22:00:00,182,100000.0,100082.67846624994,82.67846624994127,0.08267846624994127,-0.6501652006947157,4.207956755982649,63184,,,50,28,22,56.00000000000001,228.0917878125012,-286.54687456818067
23,2015-12-06 22:00:00,2016-06-06 22:00:00,183,100000.0,99460.92545700006,-539.074542999937,-0.539074542999937,-2.8566618053330592,4.263977915853876,148322,,,48,28,20,58.333333333333336,206.75045801785842,-316.9645984249989
24,2016-03-06 22:00:00,2016-09-06 22:00:00,184,100000.0,98511.30077350009,-1488.6992264999135,-1.4886992264999135,,3.9701694363499467,97177,,,47,35,12,74.46808510638297,88.7071085357144,-385.06220493749976
25,2016-06-06 22:00:00,2016-12-06 22:00:00,183,100000.0,104699.88929250003,4699.8892925000255,4.699889292500026,,4.155973619163838,45911,,,46,38,8,82.6086956521739,131.20707709210473,-35.747454624999975
26,2016-09-06 22:00:00,2017-03-06 22:00:00,181,100000.0,103217.82940850004,3217.829408500038,3.217829408500038,0.6705238692154787,4.253461408435722,52010,,,49,38,11,77.55102040816327,94.09300885526268,-29.42648609090918
27,2016-12-06 22:00:00,2017-06-06 22:00:00,182,100000.0,101555.59498499996,1555.5949849999597,1.5555949849999595,-0.2867898529019015,0.661424962924974,37093,,,57,39,18,68.42105263157895,49.803169846153594,-20.58075605555562
28,2017-03-06 22:00:00,2017-09-06 22:00:00,184,100000.0,103696.35926200001,3696.3592620000127,3.6963592620000125,,0.9277515367827073,35736,,,56,35,21,62.5,129.4489870999997,-40.02900278571435
29,2017-06-06 22:00:00,2017-12-06 22:00:00,183,100000.0,103006.78086149998,3006.7808614999813,3.006780861499981,,1.6472770085934476,70871,,,54,34,20,62.96296296296296,143.3894901911761,-96.34135494999997
30,2017-09-06 22:00:00,2018-03-06 22:00:00,181,100000.0,99305.74904749986,-694.2509525001369,-0.6942509525001369,-2.343686695235126,4.4287344309067835,70984,,,53,34,19,64.15094339622641,117.93786422058804,-275.77893794736866
31,2017-12-06 22:00:00,2018-06-06 22:00:00,182,100000.0,95872.15058799992,-4127.849412000083,-4.127849412000083,-2.050868120273985,7.229684413895292,120570,,,55,34,21,61.81818181818181,85.69945504411751,-335.3157563571432
32,2018-03-06 22:00:00,2018-09-06 22:00:00,184,100000.0,100608.97209150005,608.9720915000507,0.6089720915000507,,4.0112218169970975,150112,,,49,29,20,59.183673469387756,135.42479689655138,-162.25025772500044
33,2018-06-06 22:00:00,2018-12-06 22:00:00,183,100000.0,100233.67054899999,233.67054899998766,0.23367054899998768,,4.436355003684729,62294,,,45,28,17,62.22222222222222,176.0836139999997,-286.5277222647068
34,2018-09-06 22:00:00,2019-03-06 22:00:00,181,100000.0,98069.5220474999,-1930.4779525001068,-1.9304779525001068,-0.5039166594269562,7.617419267230996,146074,,,53,31,22,58.490566037735846,191.23715833871015,-355.2306799545462
35,2018-12-06 22:00:00,2019-06-06 22:00:00,182,100000.0,99224.44091949993,-775.5590805000684,-0.7755590805000684,-0.2340846362980642,7.081730021004215,169583,,,56,34,22,60.71428571428571,215.8288728823532,-368.80639811363613
36,2019-03-06 22:00:00,2019-09-06 22:00:00,184,100000.0,99359.058744,-640.9412560000055,-0.6409412560000055,,5.054796301891252,47979,,,59,36,23,61.016949152542374,161.08705101388878,-279.5776784565223
37,2019-06-06 22:00:00,2019-12-06 22:00:00,183,100000.0,99414.46926150004,-585.5307384999614,-0.5855307384999614,,5.126836489257453,136249,,,59,37,22,62.71186440677966,152.410269554054,-282.9413960000002
38,2019-09-06 22:00:00,2020-03-06 22:00:00,182,100000.0,102344.64506250004,2344.6450625000434,2.3446450625000432,0.2422884580546611,3.972416443298829,36441,,,58,39,19,67.24137931034483,184.45096674358936,-255.20750739473692
